ccode,year,country,regionnm,protestdays,demand_labor,demand_land,demand_policebrutality,demand_political,demand_price,demand_removal,demand_social,nonviolent,protester_violence,state_violence,both_violence
92,1999,"El Salvador","Central America",2,1,0,0,1,0,0,0,2,0,0,0
92,2000,"El Salvador","Central America",5,1,0,0,3,0,0,0,3,1,0,0
92,2001,"El Salvador","Central America",2,0,0,0,2,0,0,0,1,0,1,1
92,2002,"El Salvador","Central America",0,0,0,0,0,0,0,0,0,0,0,0
92,2003,"El Salvador","Central America",3,2,0,0,1,0,0,0,2,1,0,0
92,2004,"El Salvador","Central America",6,0,0,0,5,0,0,0,4,1,0,0
92,2005,"El Salvador","Central America",0,0,0,0,0,0,0,0,0,0,0,0
92,2006,"El Salvador","Central America",4,0,0,0,3,1,0,0,2,1,1,1
92,2007,"El Salvador","Central America",0,0,0,0,0,0,0,0,0,0,0,0
92,2008,"El Salvador","Central America",2,0,0,0,1,1,0,0,2,0,0,0
92,2009,"El Salvador","Central America",1,1,0,0,0,0,0,0,1,0,0,0
92,2010,"El Salvador","Central America",0,0,0,0,0,0,0,0,0,0,0,0
92,2011,"El Salvador","Central America",0,0,0,0,0,0,0,0,0,0,0,0
92,2012,"El Salvador","Central America",0,0,0,0,0,0,0,0,0,0,0,0
92,2013,"El Salvador","Central America",2,0,0,0,2,0,0,0,0,2,0,0
92,2014,"El Salvador","Central America",0,0,0,0,0,0,0,0,0,0,0,0
93,1990,"Nicaragua","Central America",10,2,0,0,2,0,0,0,1,0,1,1
93,1991,"Nicaragua","Central America",0,0,0,0,0,0,0,0,0,0,0,0
93,1992,"Nicaragua","Central America",5,0,0,0,4,1,1,0,2,0,3,3
93,1993,"Nicaragua","Central America",7,0,0,0,2,2,0,0,2,0,1,1
93,1994,"Nicaragua","Central America",21,1,0,0,4,2,0,0,3,2,0,0
93,1995,"Nicaragua","Central America",4,0,0,0,2,2,0,0,1,1,2,2
93,1996,"Nicaragua","Central America",2,0,0,0,2,0,0,0,1,1,0,0
93,1997,"Nicaragua","Central America",19,0,1,0,3,0,0,0,1,2,1,1
93,1998,"Nicaragua","Central America",3,2,0,0,0,1,0,0,2,1,0,0
93,1999,"Nicaragua","Central America",8,0,0,0,4,1,0,0,1,1,2,2
93,2000,"Nicaragua","Central America",4,1,0,0,1,2,0,0,2,2,0,0
93,2001,"Nicaragua","Central America",1,0,0,0,1,0,0,0,1,0,0,0
93,2002,"Nicaragua","Central America",2,0,0,0,0,0,2,0,2,0,0,0
93,2003,"Nicaragua","Central America",3,1,1,0,0,1,0,0,1,0,1,1
93,2004,"Nicaragua","Central America",2,0,0,0,2,0,0,0,0,2,0,0
93,2005,"Nicaragua","Central America",6,0,0,0,4,3,1,0,4,2,0,0
93,2006,"Nicaragua","Central America",3,1,0,0,1,1,0,0,2,0,1,0
93,2007,"Nicaragua","Central America",0,0,0,0,0,0,0,0,0,0,0,0
93,2008,"Nicaragua","Central America",6,0,0,0,1,1,0,0,1,1,0,0
93,2009,"Nicaragua","Central America",1,0,0,0,1,0,0,0,0,1,0,0
93,2010,"Nicaragua","Central America",3,0,0,0,1,0,0,0,0,1,0,0
93,2011,"Nicaragua","Central America",2,0,0,0,2,0,0,0,0,2,0,0
93,2012,"Nicaragua","Central America",1,0,0,0,0,1,0,0,0,0,1,1
93,2013,"Nicaragua","Central America",8,0,0,0,1,0,0,0,1,0,0,0
93,2014,"Nicaragua","Central America",1,0,2,0,0,0,0,0,1,0,1,1
94,1990,"Costa Rica","Central America",0,0,0,0,0,0,0,0,0,0,0,0
94,1991,"Costa Rica","Central America",3,1,0,0,0,1,0,1,2,0,0,1
94,1992,"Costa Rica","Central America",0,0,0,0,0,0,0,0,0,0,0,0
94,1993,"Costa Rica","Central America",1,0,1,0,0,0,0,0,0,1,0,0
94,1994,"Costa Rica","Central America",0,0,0,0,0,0,0,0,0,0,0,0
94,1995,"Costa Rica","Central America",49,4,0,0,4,3,0,0,6,1,0,0
94,1996,"Costa Rica","Central America",9,0,0,0,2,1,0,0,0,1,0,1
94,1997,"Costa Rica","Central America",0,0,0,0,0,0,0,0,0,0,0,0
94,1998,"Costa Rica","Central America",0,0,0,0,0,0,0,0,0,0,0,0
94,1999,"Costa Rica","Central America",13,0,1,0,1,0,0,0,1,0,0,0
94,2000,"Costa Rica","Central America",11,0,0,0,5,7,0,0,6,2,0,0
94,2001,"Costa Rica","Central America",0,0,0,0,0,0,0,0,0,0,0,0
94,2002,"Costa Rica","Central America",2,1,0,0,1,0,0,0,2,0,0,0
94,2003,"Costa Rica","Central America",4,1,0,0,1,1,0,0,1,1,0,0
94,2004,"Costa Rica","Central America",5,1,0,0,3,0,0,0,2,1,0,0
94,2005,"Costa Rica","Central America",2,0,0,0,2,0,0,0,2,0,0,0
94,2006,"Costa Rica","Central America",0,0,0,0,0,0,0,0,0,0,0,0
94,2007,"Costa Rica","Central America",2,0,0,0,2,0,0,0,2,0,0,0
94,2008,"Costa Rica","Central America",1,0,0,0,0,1,0,0,1,0,0,0
94,2009,"Costa Rica","Central America",0,0,0,0,0,0,0,0,0,0,0,0
94,2010,"Costa Rica","Central America",1,0,0,0,1,0,0,0,1,0,0,0
94,2011,"Costa Rica","Central America",0,0,0,0,0,0,0,0,0,0,0,0
94,2012,"Costa Rica","Central America",0,0,0,0,0,0,0,0,0,0,0,0
94,2013,"Costa Rica","Central America",0,0,0,0,0,0,0,0,0,0,0,0
94,2014,"Costa Rica","Central America",0,0,0,0,0,0,0,0,0,0,0,0
95,1990,"Panama","Central America",1,0,0,0,0,0,1,0,1,0,0,0
95,1991,"Panama","Central America",1,0,0,0,0,1,0,0,0,0,1,1
95,1992,"Panama","Central America",4,0,0,0,3,0,0,0,0,1,2,2
95,1993,"Panama","Central America",5,0,1,0,4,0,0,0,0,0,4,3
95,1994,"Panama","Central America",0,0,0,0,0,0,0,0,0,0,0,0
95,1995,"Panama","Central America",9,0,1,0,2,0,0,0,1,0,1,1
95,1996,"Panama","Central America",5,0,0,0,2,0,0,0,1,1,0,0
95,1997,"Panama","Central America",0,0,0,0,0,0,0,0,0,0,0,0
95,1998,"Panama","Central America",5,1,0,0,4,0,0,0,2,0,2,2
95,1999,"Panama","Central America",0,0,0,0,0,0,0,0,0,0,0,0
95,2000,"Panama","Central America",2,0,0,0,1,1,0,0,2,0,0,0
95,2001,"Panama","Central America",2,0,0,0,0,1,0,0,0,0,1,1
95,2002,"Panama","Central America",0,0,0,0,0,0,0,0,0,0,0,0
95,2003,"Panama","Central America",4,1,0,0,3,2,0,0,2,1,1,1
95,2004,"Panama","Central America",1,0,0,0,1,0,0,0,1,0,0,0
95,2005,"Panama","Central America",8,0,0,0,3,0,0,0,1,1,1,1
95,2006,"Panama","Central America",2,0,0,0,2,0,0,0,2,0,0,0
95,2007,"Panama","Central America",2,0,0,0,2,0,0,0,1,0,1,0
95,2008,"Panama","Central America",3,0,0,1,0,0,0,0,0,0,1,1
95,2009,"Panama","Central America",0,0,0,0,0,0,0,0,0,0,0,0
95,2010,"Panama","Central America",5,1,0,0,0,1,0,0,0,0,2,2
95,2011,"Panama","Central America",7,0,3,0,5,0,0,0,1,3,1,1
95,2012,"Panama","Central America",8,0,4,0,4,0,0,0,1,1,2,2
95,2013,"Panama","Central America",2,0,0,0,2,0,0,0,1,1,0,0
95,2014,"Panama","Central America",1,0,0,0,1,0,0,0,1,0,0,0
100,1990,"Colombia","South America",7,0,0,0,6,1,0,0,6,0,0,0
100,1991,"Colombia","South America",6,1,0,1,4,0,0,0,5,0,0,0
100,1992,"Colombia","South America",72,0,0,0,5,0,0,0,5,0,0,0
100,1993,"Colombia","South America",22,0,0,0,6,0,0,0,6,0,0,0
100,1994,"Colombia","South America",32,1,0,0,5,0,0,0,4,0,1,1
100,1995,"Colombia","South America",2,1,0,0,1,0,0,0,2,0,0,0
100,1996,"Colombia","South America",51,1,0,1,2,0,0,0,3,0,1,1
100,1997,"Colombia","South America",38,4,0,0,7,1,0,0,9,2,1,1
100,1998,"Colombia","South America",27,3,0,0,4,0,0,0,4,0,1,1
100,1999,"Colombia","South America",18,0,0,0,7,0,0,0,6,0,1,1
100,2000,"Colombia","South America",8,0,0,0,6,0,0,0,6,0,0,0
100,2001,"Colombia","South America",15,0,0,0,6,0,0,0,6,0,0,0
100,2002,"Colombia","South America",5,1,0,0,3,1,0,0,5,0,0,0
100,2003,"Colombia","South America",3,0,0,0,2,0,0,0,2,0,0,0
100,2004,"Colombia","South America",18,0,0,0,5,0,0,0,5,0,0,0
100,2005,"Colombia","South America",14,0,0,0,6,0,0,0,4,1,1,1
100,2006,"Colombia","South America",5,0,0,0,5,0,0,0,3,1,1,1
100,2007,"Colombia","South America",17,0,0,0,11,0,0,0,10,0,1,1
100,2008,"Colombia","South America",27,1,0,0,7,0,0,0,6,2,0,0
100,2009,"Colombia","South America",1,0,0,0,1,0,0,0,1,0,0,0
100,2010,"Colombia","South America",4,0,0,0,2,0,0,0,1,1,0,0
100,2011,"Colombia","South America",121,2,0,0,2,0,0,0,3,0,0,1
100,2012,"Colombia","South America",19,1,0,0,3,0,0,0,2,0,1,1
100,2013,"Colombia","South America",76,0,0,0,4,1,0,0,3,0,1,1
100,2014,"Colombia","South America",22,0,2,0,3,0,0,0,2,1,0,0
101,1990,"Venezuela","South America",10,1,0,0,2,5,0,1,2,4,2,3
101,1991,"Venezuela","South America",13,3,0,1,7,4,0,1,7,3,2,2
101,1992,"Venezuela","South America",52,3,0,4,23,1,0,1,16,8,2,2
101,1993,"Venezuela","South America",10,1,0,2,3,2,0,0,2,4,2,1
101,1994,"Venezuela","South America",15,4,1,0,5,6,0,0,5,4,2,2
101,1995,"Venezuela","South America",11,4,0,0,4,0,0,0,5,1,0,0
101,1996,"Venezuela","South America",68,7,0,0,6,1,0,0,8,5,0,0
101,1997,"Venezuela","South America",95,6,0,0,4,1,0,0,10,0,0,0
101,1998,"Venezuela","South America",23,3,0,0,3,0,0,0,4,1,1,0
101,1999,"Venezuela","South America",13,5,0,1,5,0,0,0,9,0,1,1
101,2000,"Venezuela","South America",14,5,0,0,3,0,0,1,9,0,0,0
101,2001,"Venezuela","South America",22,8,0,0,10,0,0,0,17,1,0,0
101,2002,"Venezuela","South America",83,0,0,0,10,0,0,0,10,0,0,0
101,2003,"Venezuela","South America",2,0,0,0,2,0,0,0,2,0,0,0
101,2004,"Venezuela","South America",70,1,0,2,15,0,0,0,13,1,2,2
101,2005,"Venezuela","South America",25,1,0,1,12,0,0,0,14,0,0,0
101,2006,"Venezuela","South America",17,0,1,1,9,0,0,0,8,2,0,0
101,2007,"Venezuela","South America",33,1,0,1,17,0,0,0,15,0,2,3
101,2008,"Venezuela","South America",6,1,0,0,5,0,0,0,6,0,0,0
101,2009,"Venezuela","South America",34,0,0,2,15,0,0,0,15,1,0,0
101,2010,"Venezuela","South America",46,0,0,0,7,0,0,0,7,0,0,0
101,2011,"Venezuela","South America",8,0,0,2,0,0,0,0,0,1,1,1
